"variable","label"
"spcode","community identifier"
"T","=1 if area treated btwn 1996 and 2001, 0 if not (excludes early treated)"
"mean_grad_new","average community land gradient"
"emp_age1519_a_f0","emp rate ages 15-19 african females in period 0 (1996)"
"emp_age2024_a_f0","0 emp_age2024_a_f"
"emp_age2529_a_f0","0 emp_age2529_a_f"
"emp_age3034_a_f0","0 emp_age3034_a_f"
"emp_age3539_a_f0","0 emp_age3539_a_f"
"emp_age4044_a_f0","0 emp_age4044_a_f"
"emp_age4549_a_f0","0 emp_age4549_a_f"
"emp_age5054_a_f0","0 emp_age5054_a_f"
"emp_age5559_a_f0","0 emp_age5559_a_f"
"prop_wood0","fraction of period 0 hhs using wood as major cooking fuel"
"adult_african_f0","number of adult african females in period 0 (1996)"
"adult_african_m0","number of adult african males in period 0 (1996)"
"hhcount0","total households in community in period 0"
"prop_elec0","fraction of households using electricity as main lighting source in period 0"
"prop_candles0","fraction of households using candles as main lighting source in period 0"
"prop_gascook0","fraction of households using gas as main cooking fuel in period 0"
"prop_paracook0","fraction of households using paraffin as main cooking fuel in period 0"
"prop_eleccook0","fraction of households using electricity as main cooking fuel in period 0"
"prop_elec_othcook0","fraction of households using other sources of fuel for cooking in period 0"
"prop_head_f_a0","fraction of households headed by a female"
"prop_emp_f0","fraction of african women employed in period 0"
"prop_emp_m0","fraction of african men employed in period 0"
"prop_occup2_1_f0","0 prop_occup2_1_f"
"prop_occup2_2_f0","0 prop_occup2_2_f"
"prop_occup2_3_f0","0 prop_occup2_3_f"
"prop_occup2_4_f0","0 prop_occup2_4_f"
"prop_occup2_5_f0","0 prop_occup2_5_f"
"prop_occup2_6_f0","0 prop_occup2_6_f"
"prop_occup2_7_f0","0 prop_occup2_7_f"
"prop_occup2_8_f0","0 prop_occup2_8_f"
"prop_occup2_9_f0","0 prop_occup2_9_f"
"prop_miss_occup_f0","0 prop_miss_occup_f"
"prop_occup2_1_m0","0 prop_occup2_1_m"
"prop_occup2_2_m0","0 prop_occup2_2_m"
"prop_occup2_3_m0","0 prop_occup2_3_m"
"prop_occup2_4_m0","0 prop_occup2_4_m"
"prop_occup2_5_m0","0 prop_occup2_5_m"
"prop_occup2_6_m0","0 prop_occup2_6_m"
"prop_occup2_7_m0","0 prop_occup2_7_m"
"prop_occup2_8_m0","0 prop_occup2_8_m"
"prop_occup2_9_m0","0 prop_occup2_9_m"
"prop_miss_occup_m0","0 prop_miss_occup_m"
"prop_indianwhite0","fraction of households headed by an Indian or white person"
"prop_matric_m0","fraction of African men with a matric"
"prop_matric_f0","fraction of African women with a matric"
"placecode0","code for main place of residence"
"dccode0","code for district of residence"
"kms_to_subs0","distance from centroid of community to nearest electricity grid point in period"
"kms_to_road0","0 kms_to_road"
"kms_to_town0","0 kms_to_town"
"baseline_hhdens0","household density in period 0"
"base_hhpovrate0","fraction of households living on less than ZAR6,000 per year in period 0"
"emp_age1519_a_f1","employment rate for ages 15-19 African women in period 0 (1996)"
"emp_age2024_a_f1","1 emp_age2024_a_f"
"emp_age2529_a_f1","1 emp_age2529_a_f"
"emp_age3034_a_f1","1 emp_age3034_a_f"
"emp_age3539_a_f1","1 emp_age3539_a_f"
"emp_age4044_a_f1","1 emp_age4044_a_f"
"emp_age4549_a_f1","1 emp_age4549_a_f"
"emp_age5054_a_f1","1 emp_age5054_a_f"
"emp_age5559_a_f1","1 emp_age5559_a_f"
"prop_wood1","1 prop_wood"
"adult_african_f1","1 adult_african_f"
"adult_african_m1","1 adult_african_m"
"hhcount1","1 hhcount"
"prop_elec1","1 prop_elec"
"prop_candles1","1 prop_candles"
"prop_eleccook1","1 prop_eleccook"
"prop_emp_f1","1 prop_emp_f"
"prop_emp_m1","1 prop_emp_m"
"prop_occup2_1_f1","1 prop_occup2_1_f"
"prop_occup2_2_f1","1 prop_occup2_2_f"
"prop_occup2_3_f1","1 prop_occup2_3_f"
"prop_occup2_4_f1","1 prop_occup2_4_f"
"prop_occup2_5_f1","1 prop_occup2_5_f"
"prop_occup2_6_f1","1 prop_occup2_6_f"
"prop_occup2_7_f1","1 prop_occup2_7_f"
"prop_occup2_8_f1","1 prop_occup2_8_f"
"prop_occup2_9_f1","1 prop_occup2_9_f"
"prop_miss_occup_f1","1 prop_miss_occup_f"
"prop_occup2_1_m1","1 prop_occup2_1_m"
"prop_occup2_2_m1","1 prop_occup2_2_m"
"prop_occup2_3_m1","1 prop_occup2_3_m"
"prop_occup2_4_m1","1 prop_occup2_4_m"
"prop_occup2_5_m1","1 prop_occup2_5_m"
"prop_occup2_6_m1","1 prop_occup2_6_m"
"prop_occup2_7_m1","1 prop_occup2_7_m"
"prop_occup2_8_m1","1 prop_occup2_8_m"
"prop_occup2_9_m1","1 prop_occup2_9_m"
"prop_miss_occup_m1","1 prop_miss_occup_m"
"sp_lat","latitude of centroid of sub place in 01"
"sp_long","longitude of centroid of sub place in 01"
"d_prop_emp_f","prop_emp_f1-prop_emp_f0"
"d_prop_emp_m","prop_emp_m1-prop_empf_m0"
"d_prop_lfs_emp_f_nomig","change in fraction of women employed, net of in-migrants"
"d_prop_lfs_emp_m_nomig","change in fraction of men employed, net of in-migrants"
"d_prop_elec","prop_elec1-prop_elec0"
"d_prop_flush","change in fraction of households with a flush toilet"
"d_prop_waterclose","change in fraction of households with a water source close by"
"d_prop_candles",NA
"d_prop_matric_m",NA
"d_prop_matric_f",NA
"d_logafrican_ppl","change in (log) total number of Africans in the community"
"sexratio0_a","Number of African adult women/Number of African adult men in 1996"
"connectrate_during","rate of household connections between 1996 and 2001"
"nearby_T_before_1km","community was within 1 km of another area electrified before 1996"
"nearby_T_during_1km","community was within 1 km of another area electrified between 1996-2001"
"nearby_T_before_5km","community was within 5 km of another area electrified between 1996-2001"
"nearby_T_during_5km","community was within 5 km of another area electrified between 1996-2001"
"largeareas","indicator for a one of 4 cities"
"count_roads","indicator for whether a major road cuts through the community"
"hetindex","index of political heterogeneity"
"d_schools","change in number of schools between 1996-2001"
"d_prop_indianwhite",NA
"d_prop_wood",NA
"d_prop_eleccook",NA
"dlogpop_nomig","change in (log) African population, excluding recent in-migrants"
